H_RATIO_3A_PCT_CHG,HSN1F_3A_PCT_CHG,PERMIT_3A_PCT_CHG,STOCK_MKT_3A_PCT_CHG,BAA_YEILD_10Y_2A_PCT_CHG,US10Y_3A_PCT_CHG,RPCE_A_PCT_CHG,UEMP_3A_PCT_CHG,RGDP_M_PCT_CHG,YEAR,MONTH
-0.04109589,0.046901173,-0.103936039,-7.252178283,0.032327586000000005,-0.229565217,5.263636365,-0.23260648,-0.233333333,1987,11
-0.145454545,-0.11627907,-0.005063291,-2.333542724,5.2758620685,0.313539192,5.7352941180000006,-0.232241574,0.272727273,1968,1
-0.14084507,-0.167682927,-0.236784938,-1.098257139,0.072727272,-0.155756208,-0.235494882,0.445137683,-0.03649635,1992,4
0.225,0.24024024,0.172566372,-1.389626647,-0.288209607,0.103703704,1.250000001,-0.220396951,0.264150943,2005,12
-0.289473684,0.008460237,-0.114371708,-2.51576064,-0.10135135199999999,-0.220779221,-2.253731343,0.383210184,-0.625,1993,1
0.098039216,0.226966292,0.282233503,-0.802487876,-0.1342412445,-0.129370629,-0.41250000000000003,-0.32112742,0.102020202,2016,12
-0.236363636,0.501133787,0.34541249,-0.29864334,1.7749999994999999,-0.00681431,1.6835443049999999,0.649672505,-0.579617834,1971,4
0.822222222,-0.271139706,-0.333806818,-7.638385235,-0.144067797,0.133333333,-0.7875000000000001,-0.148836188,-0.014705882,2007,6
-0.338983051,0.230563003,0.098146877,0.570916989,0.8154362415,-0.231454006,-0.260273973,-0.219553201,-0.07,1999,4
-0.192307692,0.130998703,0.167847025,-1.038283777,0.7110389610000001,-0.014516129,0.44168259899999995,-0.268346882,0.088082902,1999,10
0.121621622,-0.451428571,-0.418902439,-1.158662481,0.046075086,0.528619529,1.015748031,0.650969545,-0.611111111,1982,5
0.781818182,-0.406758448,-0.404819277,-3.345449922,0.6794871794999999,0.729986431,-6.202035318,0.020616501,1.722222222,1980,3
0.976744186,-0.383375742,-0.426647427,-0.751893176,0.081081081,0.081145585,-2.020771512,-0.138791579,0.041666667,2007,10
-0.106060606,0.333333333,0.597627737,7.66564675,-0.702127659,0.034398034,-1.6596774180000002,-0.263343156,0.102189781,1978,9
0.269230769,-0.069526627,0.296193129,-1.132405789,-0.565217391,0.110953058,-1.6404255330000002,-0.294724849,-0.305555556,1994,12
1.404255319,-0.650321543,-0.620857269,-3.175775312,1.3596491235000001,-0.073809524,-9.459999999,0.294474253,1.0,2008,8
0.979166667,0.029357798,0.089514066,-1.14514637,-0.5941176465,-0.032742156,-3.1020618570000003,-0.155080987,0.068109668,1973,9
-0.150684932,-0.040268456,0.154312668,-0.860981124,0.17812499999999998,0.029539531,0.736842105,0.21691283,0.016260163,1983,8
0.166666667,-0.263906856,-0.549270879,1.277427284,1.8053097345000002,0.297906602,-0.092879256,0.550469606,0.24260355,1975,7
0.204081633,0.273743017,0.279594138,-2.877580408,0.267657993,0.24,-1.404255318,-0.339602934,-0.25,2015,9
-0.136363636,0.31147541,0.762135922,2.878519215,-0.49541284350000003,-0.14511041,15.082191779999999,-0.322735493,0.663043478,2014,4
